ID	phases	idx	Hdel	Hid	Hstart	Hend	Pdel	Pid	Pstart	Pend
SL2.50ch01_42411_42793	+-	1	287	SL2.50ch01	42520	42521	0	Spenn-ch01	56824	56536
SL2.50ch01_42411_42793	+-	2	225	SL2.50ch01	42524	42525	0	Spenn-ch01	56533	56307
SL2.50ch01_48717_49161	+-	1	14	SL2.50ch01	48935	48936	0	Spenn-ch01	48654	48639
SL2.50ch01_48717_49161	+-	2	46	SL2.50ch01	48956	48957	0	Spenn-ch01	48619	48572
SL2.50ch01_67014_67919	+-	1	39	SL2.50ch01	67383	67384	0	Spenn-ch01	29347	29307
SL2.50ch01_67014_67919	+-	2	22	SL2.50ch01	67482	67483	0	Spenn-ch01	29209	29186
SL2.50ch01_95997_97075	++	1	154	SL2.50ch01	96058	96059	0	Spenn-ch01	142600	142755
SL2.50ch01_95997_97075	++	2	4	SL2.50ch01	96192	96193	0	Spenn-ch01	142888	142893
SL2.50ch01_95997_97075	++	3	1	SL2.50ch01	96482	96483	0	Spenn-ch01	143182	143184
SL2.50ch01_95997_97075	++	4	1	SL2.50ch01	96621	96622	0	Spenn-ch01	143322	143324
SL2.50ch01_95997_97075	++	5	0	SL2.50ch01	96819	96822	2	Spenn-ch01	143521	143522
SL2.50ch01_95997_97075	++	6	0	SL2.50ch01	96885	96887	1	Spenn-ch01	143585	143586
SL2.50ch01_148562_149110	++	1	1	SL2.50ch01	148890	148891	0	Spenn-ch01	201586	201588
SL2.50ch01_148562_149110	++	2	1	SL2.50ch01	148995	148996	0	Spenn-ch01	201692	201694
SL2.50ch01_148562_149110	++	3	762	SL2.50ch01	149006	149007	0	Spenn-ch01	201704	202467
SL2.50ch01_154626_155949	++	1	1	SL2.50ch01	155456	155457	0	Spenn-ch01	208483	208485
SL2.50ch01_154626_155949	++	2	0	SL2.50ch01	155479	155504	24	Spenn-ch01	208507	208508
SL2.50ch01_154626_155949	++	3	0	SL2.50ch01	155569	155656	86	Spenn-ch01	208573	208574
SL2.50ch01_154626_155949	++	4	0	SL2.50ch01	155725	155727	1	Spenn-ch01	208643	208644
SL2.50ch01_193995_194442	++	1	0	SL2.50ch01	194319	194326	6	Spenn-ch01	247551	247552
SL2.50ch01_193995_194442	++	2	0	SL2.50ch01	194330	194368	37	Spenn-ch01	247556	247557
SL2.50ch01_201719_202547	++	1	0	SL2.50ch01	201779	201781	1	Spenn-ch01	255062	255063
SL2.50ch01_201719_202547	++	2	1	SL2.50ch01	202096	202097	0	Spenn-ch01	255378	255380
SL2.50ch01_201719_202547	++	3	0	SL2.50ch01	202191	202193	1	Spenn-ch01	255474	255475
SL2.50ch01_201719_202547	++	4	6	SL2.50ch01	202366	202367	0	Spenn-ch01	255648	255655
SL2.50ch01_201719_202547	++	5	0	SL2.50ch01	202391	202437	45	Spenn-ch01	255679	255680
SL2.50ch01_201719_202547	++	6	0	SL2.50ch01	202474	202480	5	Spenn-ch01	255717	255718
SL2.50ch01_301453_302293	++	1	0	SL2.50ch01	301782	301820	37	Spenn-ch01	407899	407900
