ID	phases	idx	Hdel	Hid	Hstart	Hend	Pdel	Pid	Pstart	Pend
SL2.50ch01_42411_42793	+-	1	287	SL2.50ch01	42520	42521	0	Spenn-ch01	56824	56536
SL2.50ch01_42411_42793	+-	2	225	SL2.50ch01	42524	42525	0	Spenn-ch01	56533	56307
SL2.50ch01_46404_47117	+-	1	68	SL2.50ch01	46726	46727	0	Spenn-ch01	51200	51131
SL2.50ch01_46404_47117	+-	2	13	SL2.50ch01	46732	46733	0	Spenn-ch01	51126	51112
SL2.50ch01_46404_47117	+-	3	13	SL2.50ch01	46749	46750	0	Spenn-ch01	51096	51082
SL2.50ch01_46404_47117	+-	4	90	SL2.50ch01	46752	46753	0	Spenn-ch01	51080	50989
SL2.50ch01_46404_47117	+-	5	54	SL2.50ch01	46760	46761	0	Spenn-ch01	50982	50927
SL2.50ch01_46404_47117	+-	6	79	SL2.50ch01	46767	46768	0	Spenn-ch01	50921	50841
SL2.50ch01_46404_47117	+-	7	8	SL2.50ch01	46779	46780	0	Spenn-ch01	50830	50821
SL2.50ch01_48717_49161	+-	1	14	SL2.50ch01	48935	48936	0	Spenn-ch01	48654	48639
SL2.50ch01_48717_49161	+-	2	46	SL2.50ch01	48956	48957	0	Spenn-ch01	48619	48572
SL2.50ch01_54857_55150	+-	1	4	SL2.50ch01	54933	54934	0	Spenn-ch01	42309	42304
SL2.50ch01_54857_55150	+-	2	2	SL2.50ch01	54960	54961	0	Spenn-ch01	42278	42275
SL2.50ch01_54857_55150	+-	3	0	SL2.50ch01	55079	55107	27	Spenn-ch01	42157	42156
SL2.50ch01_64617_65019	+-	1	21	SL2.50ch01	64725	64726	0	Spenn-ch01	32164	32142
SL2.50ch01_64617_65019	+-	2	0	SL2.50ch01	64842	64845	2	Spenn-ch01	32026	32025
SL2.50ch01_64617_65019	+-	3	0	SL2.50ch01	64886	64888	1	Spenn-ch01	31984	31983
SL2.50ch01_64617_65019	+-	4	9	SL2.50ch01	64966	64967	0	Spenn-ch01	31905	31895
SL2.50ch01_64617_65019	+-	5	124	SL2.50ch01	64998	64999	0	Spenn-ch01	31864	31739
SL2.50ch01_67014_67919	+-	1	39	SL2.50ch01	67383	67384	0	Spenn-ch01	29347	29307
SL2.50ch01_67014_67919	+-	2	22	SL2.50ch01	67482	67483	0	Spenn-ch01	29209	29186
SL2.50ch01_95997_97075	++	1	154	SL2.50ch01	96058	96059	0	Spenn-ch01	142600	142755
SL2.50ch01_95997_97075	++	2	4	SL2.50ch01	96192	96193	0	Spenn-ch01	142888	142893
SL2.50ch01_95997_97075	++	3	1	SL2.50ch01	96482	96483	0	Spenn-ch01	143182	143184
SL2.50ch01_95997_97075	++	4	1	SL2.50ch01	96621	96622	0	Spenn-ch01	143322	143324
SL2.50ch01_95997_97075	++	5	0	SL2.50ch01	96819	96822	2	Spenn-ch01	143521	143522
SL2.50ch01_95997_97075	++	6	0	SL2.50ch01	96885	96887	1	Spenn-ch01	143585	143586
SL2.50ch01_148562_149110	++	1	1	SL2.50ch01	148890	148891	0	Spenn-ch01	201586	201588
